date,gold price,demand,inflation
2015-06-11,0.1946817502144947,14416000,0.0
2015-06-12,0.19509839252003525,14017700,0.0
2015-06-13,0.19715132607000507,13305300,0.0
2015-06-14,0.1981192650099982,12165900,0.0
2015-06-15,0.1998000407415959,19912100,0.0
2015-06-16,0.2125328286933172,41612000,0.0
2015-06-17,0.21190410694371908,43858400,0.0
2015-06-18,0.20724677801429853,30980200,0.0
2015-06-19,0.20358385585319783,23965300,0.0
2015-06-20,0.20408822772803528,20608100,0.0
2015-06-21,0.20303287577539794,10600900,0.0
2015-06-22,0.20865930191907286,17692500,0.0
2015-06-23,0.20769938394031195,15108700,0.0
2015-06-24,0.20511257410649808,17344900,0.0
2015-06-25,0.20725479809789132,16133100,0.0
2015-06-26,0.20768521533820886,13983500,0.0
2015-06-27,0.2139909628005587,20488600,0.0
2015-06-28,0.21230368863817764,15137600,0.0
2015-06-29,0.21812812504143245,34742900,0.0
2015-06-30,0.2245599581449397,44533800,0.0
2015-07-01,0.2212326793817499,27029800,0.0
2015-07-02,0.21961479154211228,21551900,0.0
2015-07-03,0.22040928506892196,19033800,0.0
2015-07-04,0.2243215703595228,15620400,0.0
2015-07-05,0.23380309061458782,44156100,0.0
2015-07-06,0.2293716371211556,49154800,0.0
2015-07-07,0.23100225190274076,28857600,0.0
2015-07-08,0.23277313873999267,36980200,0.0
2015-07-09,0.23229335360325443,40301200,0.0
2015-07-10,0.2460862265415055,100390000,0.0
2015-07-11,0.2531873564801234,41109900,0.0
2015-07-12,0.2685212209604552,56405000,0.0
2015-07-13,0.25281682647184445,62053900,0.0
2015-07-14,0.24925342676427212,28727200,0.0
2015-07-15,0.24915361068294045,27486600,0.0
2015-07-16,0.24312727521101898,49482600,0.0
2015-07-17,0.2469269948809852,27591400,0.0
2015-07-18,0.24288830987522686,25187100,0.0
2015-07-19,0.2417511944403759,15332500,0.0
2015-07-20,0.2520836720498791,22711400,0.0
2015-07-21,0.2499845946251228,22930700,0.0
2015-07-22,0.25400584447678826,19389800,0.0
2015-07-23,0.2523299919839751,18531300,0.0
2015-07-24,0.26554718277432227,37199400,0.0
2015-07-25,0.2659331221990648,20662200,0.0
